id;name;featured_image;featured_image_content_type;phone;email;website;about;about_type;location;location_type
1;platforms Generic Steel Gloves;../fake-data/blob/hipster.png;image/png;"+279875409199";"R@^[`'2.aHp";relationships;../fake-data/blob/hipster.txt;HTML;../fake-data/blob/hipster.txt;HTML
2;Ergonomic Rubber Shirt quantifying policy;../fake-data/blob/hipster.png;image/png;"+425808003821";"By0Ji:@5-.X9pA";primary THX;../fake-data/blob/hipster.txt;HTML;../fake-data/blob/hipster.txt;HTML
3;Money Market Account orange Home Loan Account;../fake-data/blob/hipster.png;image/png;"+810500331487";"E#@t}d.L<=kB<";Future-proofed;../fake-data/blob/hipster.txt;HTML;../fake-data/blob/hipster.txt;TEXT
4;Berkshire;../fake-data/blob/hipster.png;image/png;"+490623072971";"Fk!`s@_8E{F.BLuLh";Rubber;../fake-data/blob/hipster.txt;TEXT;../fake-data/blob/hipster.txt;TEXT
5;Accountability Soap Palladium;../fake-data/blob/hipster.png;image/png;"+745739850989";")H>T@XW9J2N.?7";Tactics;../fake-data/blob/hipster.txt;TEXT;../fake-data/blob/hipster.txt;TEXT
6;Awesome;../fake-data/blob/hipster.png;image/png;"+262524897676";"$D@'<.6N";Concrete;../fake-data/blob/hipster.txt;TEXT;../fake-data/blob/hipster.txt;TEXT
7;HDD;../fake-data/blob/hipster.png;image/png;"+018023175607";"6)l>5@MUJ.[";Cambridgeshire Incredible;../fake-data/blob/hipster.txt;HTML;../fake-data/blob/hipster.txt;TEXT
8;discrete Serbia Groves;../fake-data/blob/hipster.png;image/png;"+375955931856";"_j@3P.HM[g";Home Loan Account open-source;../fake-data/blob/hipster.txt;HTML;../fake-data/blob/hipster.txt;HTML
9;synergies;../fake-data/blob/hipster.png;image/png;"+421427549746";"!fS00@awq'r7.S";initiative;../fake-data/blob/hipster.txt;HTML;../fake-data/blob/hipster.txt;TEXT
10;Guyana Personal Loan Account open-source;../fake-data/blob/hipster.png;image/png;"+528391810878";"W7zX@&{Uoy.=!)8g,";Buckinghamshire;../fake-data/blob/hipster.txt;TEXT;../fake-data/blob/hipster.txt;TEXT
