id;subject;year;semester;result
1;aggregate;21267;orchid Fantastic Concrete Keyboard;39794
2;deposit Unbranded Future;71474;Bedfordshire JSON;29015
3;syndicate Virginia;16430;Beauty Home Loan Account;78438
4;magenta;59006;input payment Reunion;54159
5;AGP;7411;Forward Licensed solid state;22500
6;Pants Indiana;41191;Maryland value-added;27011
7;fuchsia Ball Green;82173;B2B Auto Loan Account;47577
8;Place;98728;Netherlands Antillian Guilder New Mexico syndicate;57651
9;deposit;74430;orange;61910
10;Function-based;11689;function Quality;5664
